1,1,0,1,0,1,0.33333,0.33333
0,-0,1,1,0,0.10458,0.33333,0.33333
1,0,0,1,0,0.011077,0.33333,0.33333
0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0
118.84,115.18,115.18,0,0,0,0,0
130.55,114.83,114.83,0,0,0,0,0
0,0,0,0,0,0,0,0
7.7483,7.748,270.79,0,0,0,0,0
26.223,227.3,24.218,0,0,0,0,0
128.59,124.93,387.97,0,0,0,0,0
158.77,344.13,141.05,0,0,0,0,0
294.68,1440,1440,0,0,0,0,0
0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0
2,1,1,0,0,0,0,0
1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,3,3,0,0,0,0,0
