1,0,1,1,0,1,0.33333,0.33333
0,1,0,1,0,0.42342,0.33333,0.33333
1,0,0,1,0,0.92424,0.33333,0.33333
0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0
14.445,11.07,11.07,0,0,0,0,0
7.5175,5.517,5.517,0,0,0,0,0
0,0,0,0,0,0,0,0
1.8046,28.265,1.805,0,0,0,0,0
10.732,7.678,22.392,0,0,0,0,0
18.25,41.335,14.875,0,0,0,0,0
20.25,15.195,29.91,0,0,0,0,0
34.599,1440,1440,0,0,0,0,0
0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0
2,1,1,0,0,0,0,0
1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,3,3,0,0,0,0,0
