1,0,1,0,1,0.5,0.5
0,1,1,0,0.49005,0.5,0.5
0,0,0,0,0,0,0
1,1,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
7.6847,7.685,0,0,0,0,0
79.411,79.411,0,0,0,0,0
0,0,0,0,0,0,0
1.5514,165.34,0,0,0,0,0
20.159,11.86,0,0,0,0,0
11.236,175.03,0,0,0,0,0
101.57,93.271,0,0,0,0,0
174.74,1440,0,0,0,0,0
0,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,3,0,0,0,0,0
