1,0,0,0,0,1,0,1,1,1
0,1,0,1,0,1,0,1,0.026128,0.034266
0,0,1,0,1,1,0,1,1.292e-11,8.3894e-11
0,0,0,0,0,1,0,1,9.0028e-12,5.9159e-11
0,0,0,1,0,1,0,1,1.2906e-11,8.3981e-11
1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
8.1404,8.14,12.461,11.433,10.461,0,0,0,0,0
43.113,46.565,43.355,36.664,36.664,0,0,0,0,0
-6.9506,2.951,9.558,12.336,9.558,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1.8953,990.43,8.434,80.396,8.434,0,0,0,0,0
17.729,6.259,17.202,6.259,26.588,0,0,0,0,0
24.679,11.21,3.644,85.186,3.644,0,0,0,0,0
12.036,1000.6,22.895,93.83,20.895,0,0,0,0,0
62.842,54.824,62.557,44.923,65.252,0,0,0,0,0
19.729,16.16,15.202,99.523,15.202,0,0,0,0,0
98.555,1440,1440,1440,1440,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1,1,2,1,2,0,0,0,0,0
1,1,2,1,1,0,0,0,0,0
1,2,1,2,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,0
0,3,3,3,3,0,0,0,0,0
