,249,48,186,162,140,138,142,161,234,141
234,833.0,1706.0,842.0,1736.0,1919.0,2948.0,2326.0,1552.0,9.0,2216.0
48,1674.0,16.0,1055.0,1250.0,2030.0,3286.0,1007.0,942.0,1413.0,1774.0
36,4328.0,4166.0,3682.0,3271.0,3665.0,2983.0,4502.0,3442.0,3515.0,3739.0
161,1799.0,777.0,1083.0,595.0,1610.0,2668.0,1391.0,13.0,962.0,1380.0
50,1870.0,380.0,1366.0,1548.0,2045.0,3372.0,898.0,1179.0,1643.0,1788.0
74,3265.0,2783.0,2862.0,1851.0,1313.0,1600.0,2257.0,1997.0,2552.0,1754.0
262,2655.0,2174.0,2252.0,1246.0,683.0,2020.0,1701.0,1388.0,1944.0,885.0
236,3283.0,1877.0,2564.0,1350.0,1178.0,2395.0,1206.0,1496.0,2443.0,888.0
186,854.0,1218.0,13.0,1588.0,2126.0,2900.0,1839.0,1322.0,607.0,2439.0
107,1446.0,2381.0,1563.0,1608.0,1446.0,2741.0,2548.0,1717.0,1041.0,1743.0
