1,0,0,0,0,0.66364,0.50002
0,1,1,0,0.06664,0.33636,0.49998
1,0,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
178.51,72.367,0,0,0,0,0
165.49,159.2,0,0,0,0,0
0,0,0,0,0,0,0
17.268,328.48,0,0,0,0,0
71.936,55.505,0,0,0,0,0
197.77,402.85,0,0,0,0,0
239.43,216.7,0,0,0,0,0
345.15,1440,0,0,0,0,0
0,0,0,0,0,0,0
1,1,0,0,0,0,0
2,1,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,0
0,3,0,0,0,0,0
